,ref,publication,city,state,country,award,award_single_word,award_weight,general_category,general_category_single_word,specific_category,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10
12,0328,The Guardian,London,,United kingdom,Award of Excellence,AE,7,"Page Design, Individual Portfolio",PDP,"News 175,000 and over",Chris Clarke,Deputy Creative Director,,,,,,,,,,,,,,,,,,
13,0351,The Guardian,London,,United kingdom,Silver,S,4,Special Coverage,SPC,News,Chris Clarke,Deputy Creative Director,Michael Becker,Art Director,,,,,,,,,,,,,,,,
14,0835,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Combination Print & Digital,CPD,Sports,Joe Fox,Graphics & Data Journalist,Lorena Iiquez Elebee,Senior graphics & data journalist,Armand Emamdjomeh,Deputy Director of Data Visualization,Ryan Menezes,Digital editor,,,,,,,,,,,,
15,0456,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,"Information Graphics, Single",IGS,Sports/Non-Deadline ,Joe Fox,Graphics & Data Journalist,Lorena Iiquez Elebee,Senior graphics & data journalist,Ryan Menezes,Digital editor,,,,,,,,,,,,,,
16,0616,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Hom,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,
17,0547,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,Allison Hong,Designer,,,,,,,,,,,,,,,,
18,0285,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Multi-Day Photo Series,Calvin Hom,Director/Photography,George Wilhelm,Photo Editor,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,,,,,,,,,,,,
19,0275,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Photo Page Design,Michael Whitley,A.M.E.,Jay Clendenin,Photographer,George Wilhelm,Photo Editor,,,,,,,,,,,,,,
20,0279,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Calvin Hom,Director/Photography,George Wilhelm,Photo Editor,Michael Whitley,A.M.E.,,,,,,,,,,,,,,
21,0054,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,Portrait,Jay Clendenin,Photographer,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,
22,0097,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,Sports,Wally Skalij,Photographer,George Wilhelm,Photo Editor,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,,,,,,,,,,,,
23,0368,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,Special Coverage,SPC,Sports,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Horn,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,
24,0195,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Special News Topics,SNT,Editor's Choice: Sports,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Hom,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,
25,0720,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Special Sections,SPS,Sports/Inside Page(s),Len  DeGroot,Director of Data Visualization,Lorena Elebee,Senior Graphic Artist,Joe Fox,Graphic Artist,,,,,,,,,,,,,,
26,0996,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,Special Sections,SPS,Sports/Section Cover,Michael Whitley,A.M.E.,Calvin Hom,Director/Photography,Jay Clendenin,Photographer,,,,,,,,,,,,,,
27,0742,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Special Sections,SPS,Sports/With ads,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Hom,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,
28,0057,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Editorial Cartoons,EDC,,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,,,,,
29,0047,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,
30,0411,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,"Features Design, Pages",FDP,"Arts & Entertainment/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Jonathan Bartlett,Illustrator,,,,,,,,,,,,,,
31,0889,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Miscellaneous,MIS,,Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Jonathan Bartlett,Illustrator,,,,,,,,,,,,,,
32,0770,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,Special Sections,SPS,Features/Section Cover,Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Jonathan Baratlett,Illustrator,,,,,,,,,,,,,,
33,0553,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,George Wilhelm,Photo Editor,Jay Clendenin,Photographer,,,,,,,,,,,,,,
34,0471,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,Jay Clendenin,Photographer,George Wilhelm,Photo Editor,,,,,,,,,,,,,,
35,0276,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Multi-Day Photo Series,Michael Whitley,A.M.E.,George Wilhelm,Director of Photography,Jay Clendenin,Photographer,Tim Hubbard,Designer,,,,,,,,,,,,
36,0284,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Multi-Day Photo Series,Jay Clendenin,Photographer,Wally Skali,Photographer,George Wilhelm,Photo Editor,Robert Gauthier,Photographer,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Tim Hubbard,Designer,Allison Hong,Designer,Jason Clark,Designer,,
37,0041,Los Angeles Times,Los Angeles,Calif.,United States,Silver,S,4,"Photography, Single Photos",PSP,Portrait,Jay Clendenin,Photographer,George Wilhelm,Photo Editor,Michael Whitley,A.M.E.,,,,,,,,,,,,,,
38,0051,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,Portrait,Jay Clendenin,Photographer,George Wilhelm,Director of Photography,Michael Whitley,A.M.E.,,,,,,,,,,,,,,
39,0352,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Breaking News Topics,BNT,Obituaries,Greg Mees,Lead News Designer,Brandon Ferrill,Designer,Michiela Thuman,News Design Director,Derek Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,,,,,,,,,,
40,0387,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"Features Design, Pages",FDP,"A&E Cover Story/Broadsheet 175,000 and over",Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,
41,0986,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,
42,0987,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Illustration,ILL,Portrait or Caricature/Color,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,
43,0988,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Multiple Illustrations,MIL,,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,
44,0389,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",Greg Mees,Lead News Designer,Michiela Thuman,News Design Director,Derek  Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,,,,,,,,,,,,
45,0537,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Greg Mees,Lead News Designer,Brandon Ferrill,Designer,Michiela Thuman,News Design Director,Derek Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,,,,,,,,,,
46,0535,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Kim Maxwell Vu,Senior Designer,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,
47,0689,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"Page Design, Staff Portfolio",PDS,"News 175,000 and over",Staff,,,,,,,,,,,,,,,,,,,
48,0407,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"Photography, Multiple Photos",PMP,Photo Page Design,Kim Maxwell Vu,Senior Designer,Greg Mees,Lead News Designer,Deb Pastner,Director of Photography,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,
49,0574,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Reprints,RPR,,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,
50,0536,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Coverage,SPC,News,Staff,,,,,,,,,,,,,,,,,,,
51,0158,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Silver,S,4,Special News Topics,SNT,Editor's Choice: Local/Regional,Greg Mees,Lead News Designer,Mike Rice,Features Design Director,Derek Simmons,A.M.E./Visuals,Brandon Ferrill,Designer,Kim Maxwell Vu,Senior Designer,Michiela Thuman,News Design Director,Josh Penrod,Presentation Director,,,,,,
52,0570,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/Inside Page(s),Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,
53,0972,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/Inside Page(s),Kim Maxwell Vu,Senior Designer,Greg Mees,Lead News Designer,Mike Rice,Features Design Director,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,
54,0974,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/Section Cover,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,
55,0976,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/Section Cover,Derek Simmons,A.M.E./Visuals,Robert Carter,Illustrator,,,,,,,,,,,,,,,,
56,0982,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/Section Cover,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,
57,0991,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Special Sections,SPS,News/With ads,Derek Simmons,A.M.E./Visuals,Greg Mees,Lead News Designer,Mike Rice,Features Design Director,Kim Maxwell Vu,Senior Designer,Josh Penrod,Presentation Director,,,,,,,,,,
58,1077,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Miscellaneous,MIS,,Derek Simmons,A.M.E./Visuals,Rafael Alvarez,Illustrator,Mark Boswell,Graphic Artist,Greg Mees,Lead News Designer,Josh Penrod,Presentation Director,,,,,,,,,,
59,0571,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Silver,S,4,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Derek Simmons,A.M.E./Visuals,Josh Penrod,Presentation Director,Greg Mees,Lead News Designer,,,,,,,,,,,,,,
60,0856,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,Combination Print & Digital,CPD,Features,Martin Gamache,Graphic Editor,Brian Jacobs,Digital Design,Julia Smith,Digital Design,Vitomir Zarovic,Digital Design,Joe Riis,Video,David Guttenfelder,Photographer,Charlie Hamilton James,Photographer,Theodore A. Sickley,G.I.S.,Jeremy Berlin,Text,,
61,0864,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,Combination Print & Digital,CPD,Features,Manuel Canales,Graphic Editor,Daisy Chung,Digital Design and Development,Daniela Santamarina,Digital Design and Development,Swordsweeper Industries,Digital Design and Development,Ronald Paniagua,Art and Animation,Charles Preppernau,"Art and Animation, Cartography",Hernan Canellas,Art and Animation,Andrew Umentum,Cartographer,Theodore A. Sickley,G.I.S.,,
62,0875,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Features/Non-Deadline ,Martin Gamache,Graphic Editor,Theodore A. Sickley,G.I.S. Specialist,Jeremy Berlin,Text,Gus Platis,Map Editor,Brad Scriber,Researcher,Arthur Middleton,Scientific Adviser,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,
63,0880,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Features/Non-Deadline ,Mnica Serrano,Graphic Editor,Shelly Sperry,Researcher,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,
64,0659,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,Magazines,MAG,Cover Design,Jordan Metcalf,Illustrator,,,,,,,,,,,,,,,,,,
65,0520,National Geographic Magazine,Washington,D.C.,United States,Gold,G,3,Special News Topics,SNT,Editor's Choice: Local/Regional,Kathy Moran,Senior Photo Editor,Martin Gamache,Senior Graphics Editor,Monica Serrano,Senior Graphics Editor,Manuel Canales,Senior Graphics Editor,David Quammen,Reporter,Jamie Shreeve,Editor,Bill Marr,Creative Director,Chris Johns,Editor-in-Chief,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief
66,0844,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,Combination Print & Digital,CPD,Features,Fernando G. Baptista,Graphic Editor,Chiqui Esteban,Digital Layout,Daisy Chung,Graphics Assistant,Lawson Parker,Art Assistant,Shizuka Aoki,Art Assistant,Ryan T. Williams,Researcher,Fanna Gebreyesus,Researcher,Jaime Hritsik,Digital Development,,,,
67,0603,National Geographic Magazine,Washington,D.C.,United States,Gold & JSR,GJSR,2,"Information Graphics, Multiple",IGM,Individual Portfolio,Fernando G. Baptista,Graphic Editor,,,,,,,,,,,,,,,,,,
68,0599,National Geographic Magazine,Washington,D.C.,United States,Silver,S,4,"Information Graphics, Single",IGS,Features/Non-Deadline ,Fernando G. Baptista,Graphic Editor,Daisy Chung,Graphic Assistant,Lawson Parker,Art Assistant,Shizuka Aoki,Art Assistant,Ryan T. Williams,Researcher,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,
69,0602,National Geographic Magazine,Washington,D.C.,United States,Gold & JSR,GJSR,2,"Information Graphics, Single",IGS,Features/Non-Deadline ,Fernando G. Baptista,Graphic Editor,Daisy Chung,Graphic Assistant,Lauren James,Graphic Assistant,Patricia Healy,Researcher,Craig Welch,Text,Damien Saunder,Cartographer Director,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,
70,0808,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Features/Non-Deadline ,Fernando G. Baptista,Graphic Editor,Shizuka Aoki,Art Assistant,Mesa Schumacher,Researcher,Damien Saunder,Cartographer,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan  Goldberg,Editor-in-Chief,,,,,,
71,0822,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Features/Non-Deadline ,Fernando G. Baptista,Graphic Editor,Lauren C. Tierney,Cartographer,Victoria Sgarro,Researcher,Daisy Chung,Graphic Artist,Kaitlin M Yarnall,"Executive Editor, Cartography, Art and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,
72,0900,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Features/Non-Deadline ,Fernando G. Baptista,Graphic Editor,Matthew W. Chwastyk,Cartographer,Ryan Williams,Researcher,Manyun Zou,Researcher,Damien Saunder,Cartographer Director,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,
73,0904,National Geographic Magazine,Washington,D.C.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Features/Non-Deadline ,Fernando G. Baptista,Graphic Editor,Daisy Chung,Graphics Assistant,Ryan T. Williams,Researcher,Fanna Gebreyesus,Researcher,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,
74,0597,National Geographic Magazine,Washington,D.C.,United States,Silver,S,4,"Information Graphics, Multiple",IGM,Staff Portfolio,Staff,,,,,,,,,,,,,,,,,,,
75,0605,National Geographic Magazine,Washington,D.C.,United States,JSR (Overall),JSR,5,"Information Graphics, Single",IGS,Features/Non-Deadline ,Staff,,,,,,,,,,,,,,,,,,,
76,0165,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,"Features Design, Pages",FDP,"Arts & Entertainment/Broadsheet 50,000-174,999",Chloe Cushmanl,Illustrator,Genevive Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,
77,0667,National Post,Toronto,Ont.,Canada,Silver,S,4,"Features Design, Sections",FDS,"Other 50,000-174,999",Genevive Biloski,Features Design Director,Dustin Parkes,Art & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,
78,0833,The New York Times,New York,N.Y.,United States,Silver,S,4,Combination Print & Digital,CPD,News,Fred Bierman,Designer,David Furst,Picture Editor,Daniel Berehulak,Photographer,Craig Allen,Producer,Rodrigo De Benito Sanz,Producer,Jeffrey Marcus,Producer,Sergio Peanha,Producer,Jodi Rudoren,Producer,,,,
79,0593,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Fred Bierman,Designer,David Furst,Picture Editor,Daniel Berehulak,Photographer,,,,,,,,,,,,,,
80,0199,The New York Times,New York,N.Y.,United States,Gold,G,3,"Photography, Multiple Photos",PMP,Single-Day Photo Series,Fred Bierman,Designer,Daniel Berehulak,Photographer,David Furst,Picture Editor,,,,,,,,,,,,,,
81,0032,The New York Times,New York,N.Y.,United States,Silver,S,4,"Photography, Single Photos",PSP,News Feature,Daniel Berehalak,Photographer,,,,,,,,,,,,,,,,,,
82,0114,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,News Feature,Daniel Berehalak,Photographer,,,,,,,,,,,,,,,,,,
83,0977,The New York Times,New York,N.Y.,United States,Silver,S,4,Combination Print & Digital,CPD,Sports,Sergio Pecanha,Graphics Editor,Joe Ward,Graphics Editor,Jeremy White,Graphics Editor,Derek Watkins,Graphics Editor,Larry Buchanan,Graphics Editor,K.K.Rebecca Lai,Graphics Editor,Bedel Saget,Graphics Editor,Jeffrey Furticella,Photographer,,,,
84,0400,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"Information Graphics, Single",IGS,Sports/Non-Deadline ,Larry Buchanan,Graphics Editor,Jeffrey Furticella,Picture Editor,K.K. Rebecca Lai,Graphics Editor,Sergio Peanha,Graphics Editor,Bedel Saget,Graphics Editor,Joe Ward,Graphics Editor,Derek Watkins,Graphics Editor,Jeremy White,Graphics Editor,,,,
85,0588,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Sergio Peanha,Graphics Editor,Joe Ward,Graphics Editor,Jeremy White,Graphics Editor,Derek Watkins,Graphics Editor,Jeffrey Furticella,Picture Editor,,,,,,,,,,
86,0040,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"Photography, Single Photos",PSP,Photo Illustration,Sergio Peanha,Graphics Editor,Joe Ward,Graphics Editor,Jeremy White,Graphics Editor,Derek Watkins,Graphics Editor,Jeffrey Furticella,Picture Editor,,,,,,,,,,
87,0952,The New York Times,New York,N.Y.,United States,Silver,S,4,Combination Print & Digital,CPD,Sports,Rodrigo De Benito Sanz,Digital Designer,Alicia DeSantis,Graphics Editor,Alexandra Garcia,Senior Video Journalist,Mika Grondahl,Graphics Editor,Evan Grothjan,Graphics Editor,Taige Jensen,Video Editor,Yuliya Parshina-Kottas,Graphics Editor,Bedel Saget,Graphics Editor,,,,
88,1059,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,Illustration,ILL,Sports/Color,Tomasz Usyk,Illustrator,Fred Bierman,Art Director,Wayne Kamidoi,Art Director,,,,,,,,,,,,,,
89,0457,The New York Times,New York,N.Y.,United States,Silver,S,4,"Information Graphics, Single",IGS,Sports/Non-Deadline ,Tomasz Usyk,Illustrator,Joe Ward,Graphics Editor,Bedel Saget,Graphics Editor,Fred Bierman,Designer,Wayne Kamidoi,Designer,Leslye Davis,Photographer,Larry Buchanan,Graphics Editor,,,,,,
90,0959,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,Miscellaneous,MIS,,Tomasz Usyk,Illustrator,Joe Ward,Graphics Editor,Bedel Saget,Graphics Editor,Fred Bierman,Designer,Wayne Kamidoi,Designer,Leslye Davis,Photographer,Larry Buchanan,Graphics Editor,,,,,,
91,0272,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,Special News Topics,SNT,Summer Olympics in Rio,Wayne Kamidoi,Designer,Fred Bierman,Designer,Andrew Braford,Designer,Jeffrey Furticella,Picture Editor,Becky Lebowitz Hanger,Picture Editor,Tomasz Usyk,Illustrator,Joe Ward,Graphics Editor,Bedel Saget,Graphics Editor,Larry Buchanan,Graphics Editor,,
92,0836,The New York Times,New York,N.Y.,United States,Silver,S,4,Combination Print & Digital,CPD,Features,Gail Bichler,Design Director,Matt Willey,Art Director,Jason Sfetko,Deputy Art Director,Frank Augugliario,Designer,Ben Grandgenett,Designer,Chloe Scheffe,Designer,Kathy Ryan,Director of Photography,Rodrigo de Benito Sanz,Digital Design,Linsey Fields,Digital Design,,
93,0933,The New York Times,New York,N.Y.,United States,Silver,S,4,Magazines,MAG,Special Sections,Gail Bichler,Design Director,Matt Willey,Art Director,Jason Sfetko,Deputy Art Director,Frank Augugliario,Designer,Ben Grandgenett,Designer,Chloe Scheffe,Designer,Kathy Ryan,Director of Photography,,,,,,
94,0897,Omaha World-Herald,Omaha,Neb.,United States,Silver,S,4,"News Design, Pages",NDP,"Cover Story/Broadsheet 50,000-174,999",Tim Parks,Deputy Presentation and Planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital Designer,Kent Sievers,Photographer,Brendan Sullivan,Photographer,Ryan Soderlin,Photographer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Jeff Bundy,Director/Photography,Dave Elsesser,Presentation and planning editor
95,0595,Omaha World-Herald,Omaha,Neb.,United States,Silver,S,4,"News Design, Pages",NDP,"Sports/Broadsheet 50,000-174,999",Tim Parks,Deputy presentation and planning editor,Matt Haney,Illustrator,Katie Myrick Parks,Digital designer,Thad Livingston,Sports Editor,Graham Archer,Deputy Sports Editor,Dave Elsesser,Presentation and planning editor,,,,,,,,
